objectid,format,title,filename,hostInstitution,location,longitude,latitude,ISSN (print or generic),ESSN (online),lastIssueDate,ledBy
demo_001,record,Carleton Perspectives on Public Policy,https://ojs.library.carleton.ca/index.php/cpopp/,Carleton University,"Ottawa, Ontario",45.38730357,-75.69543154,2563-3260,,2022,graduate
demo_002,record,Corvus,https://carleton.ca/grs/student-life/corvus-journal/,Carleton University,"Ottawa, Ontario",45.38730357,-75.69543154,2369-9086,2369-9094,2022,undergraduate
demo_003,record,"ISEMA: Perspectives on Innovation, Science and Environment",https://isemajournal.wordpress.com/,Carleton University,"Ottawa, Ontario",45.38730357,-75.69543154,1920-5775,1920-5783,2021,undergraduate
demo_004,record,Concordia Journal of Psychology and Neuroscience (CJPN),https://www.concordiapsychjournals.ca/cjpn/,Concordia University,"Montreal, Quebec",45.49772909,-73.57848692,unknown,,2021,graduate
demo_005,record,Concordia’s Journal of Accessible Psychology,https://www.concordiapsychjournals.ca/cjap/blog/,Concordia University,"Montreal, Quebec",45.49772909,-73.57848692,unknown,,2021,graduate
demo_006,record,InARTE Journal,https://inartejournal.ca/,Concordia University,"Montreal, Quebec",45.49772909,-73.57848692,unknown,,2021,"graduate
 undergraduate"
demo_007,record,JRC: Journal of Religion and Culture,http://www.jrc-concordia.ca/,Concordia University,"Montreal, Quebec",45.49772909,-73.57848692,1198-6395,,2021,graduate
demo_008,record,Dalhousie Journal of Interdisciplinary Management,https://ojs.library.dal.ca/djim,Dalhousie University,"Halifax, Nova Scotia",44.63571525,-63.59456216,1923-6530,,2021,graduate
demo_009,record,Dalhousie Journal of Legal Studies,https://digitalcommons.schulichlaw.dal.ca/djls/,Dalhousie University,"Halifax, Nova Scotia",44.63571525,-63.59456216,2292-1419,,2021,"student, unclear"
demo_010,record,Dalhousie Medical Journal,https://ojs.library.dal.ca/DMJ,Dalhousie University,"Halifax, Nova Scotia",44.63571525,-63.59456216,1488-9994,,2022,"student, unclear"
demo_011,record,"Healthy Populations Journal (HPJ), The",https://ojs.library.dal.ca/hpj,Dalhousie University,"Halifax, Nova Scotia",44.63571525,-63.59456216,2816-2536,,2022,"student, unclear"
demo_012,record,Crossing Borders: Student Reflections on Global Social Issues,https://journals.macewan.ca/crossingborders,MacEwan University,"Edmonton, Alberta",53.54733208,-113.5064158,2562-8445,,2021,undergraduate
demo_013,record,Canadian Content,https://www.csausmcgill.com/,McGill University,"Montreal, Quebec",45.50492002,-73.57667904,2369-8373,2369-8381,2022,undergraduate
demo_014,record,"Channel: McGill Department of English Undergraduate Review, The",http://mcgillchannelundergraduatereview.com/,McGill University,"Montreal, Quebec",45.50492002,-73.57667904,2369-8608,,2022,undergraduate
demo_015,record,DOROT: The McGill Undergraduate Journal of Jewish Studies,https://www.mcgill.ca/jewishstudies/undergraduates/journal,McGill University,"Montreal, Quebec",45.50492002,-73.57667904,1913-2409,,2022,undergraduate
demo_016,record,Flux: International Relations Review,https://fluxirr.mcgill.ca/,McGill University,"Montreal, Quebec",45.50492002,-73.57667904,2562-6094,,2022,undergraduate
demo_017,record,Fragments: McGill Undergraduate Journal of Philosophy,https://issuu.com/mcgillfragments,McGill University,"Montreal, Quebec",45.50492002,-73.57667904,unknown,,2022,undergraduate
demo_018,record,McGill GLSA Research Series,https://glsars.library.mcgill.ca/,McGill University,"Montreal, Quebec",45.50492002,-73.57667904,2564-3843,,2022,graduate
demo_019,record,McGill Journal of Dispute Resolution (MJDR),https://mjdr-rrdm.ca/,McGill University,"Montreal, Quebec",45.50492002,-73.57667904,unknown,,2022,"student, unclear"
demo_020,record,McGill Journal of Economics (MJE),https://www.esamcgill.com/journal,McGill University,"Montreal, Quebec",45.50492002,-73.57667904,2369-8365,,2021,"student, unclear"
demo_021,record,McGill Journal of Global Health,https://mghjournal.com/,McGill University,"Montreal, Quebec",45.50492002,-73.57667904,unknown,,2022,"student, unclear"
